category;subcategory;sentence;paraphrase;source
leksikalno_parafraziranje;zamenjava_sopomenk;Katera mobilna programska oprema je najprimernejša za brezplačen prenos filmov?;Kateri digitalni pripomočki omogočajo najboljše brezplačno nalaganje filmov?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;Ali kriketisti dejansko uživajo čaj med čajnim premorom?;Je res, da športniki v kriketu med čajnimi odmori pijejo čaj?;quora
leksikalno_parafraziranje;zamenjava_sopomenk;ja, to je lokalni norček, kajne?;ja, lokalni čudak, kajne?;paranmt_small
leksikalno_parafraziranje;zamenjava_sopomenk;Shedao Shai je okleval za sekundo, komaj srčni utrip, pustil, da ga preplavi strah pred bogokletstvom.;Shedao Shai je okleval za trenutek, komaj en utrip srca, in si dovolil, da se je navadil na svoj strah pred bogokletstvom.;paranmt_small
leksikalno_parafraziranje;zamenjava_sopomenk;Brez drame in brez da bi koga prizadel.;Brez drame in brez škode za druge ljudi.;paranmt_small
leksikalno_parafraziranje;zamenjava_sopomenk;No, vidim, da si pokonci, babica.;Vidim, da si budna, babica.;paranmt_small
leksikalno_parafraziranje;zamenjava_sopomenk;Garth je bil prijazen svet, čeprav je bil izoliran daleč od drugih zemeljskih naselij.;Garth je bil prijazen svet, čeprav daleč od preostalih svetovnih kolonij.;paranmt_small
leksikalno_parafraziranje;zamenjava_sopomenk;"Tkanina, najdena na prizorišču, je bila bombažna z umetnimi polimeri; barva: olivno zelena. ";"Tkanina, najdena na kraju dogajanja, je bila bombažna s sintetičnimi polimeri; barva: olivno zelena.";paranmt_small
leksikalno_parafraziranje;zamenjava_sopomenk;In poskrbel bom, da boste ustrezno nagrajeni za svojo predanost.;In poskrbel bom, da boste primerno nagrajeni za svojo zavzetost.;paranmt_small
leksikalno_parafraziranje;zamenjava_sopomenk;Jame predstvljajo ugodno mesto za ohranjanje kosti, zaradi svoje stabilne temperature in vlage.;Jame predstavljajo optimalno mesto za ohranjanje okostja, zaradi svoje stalne temperature in vlažnosti.;paranmt_small
leksikalno_parafraziranje;zamenjava_sopomenk;Odgovoren sem za postopek odobritve v moji agenciji.;Zadolžen sem za proces potrditve v svoji organizaciji.;microsoft_msr
leksikalno_parafraziranje;zamenjava_sopomenk;Zagon na trgu se še naprej premika v našo smer, je dejal o svojem podjetju, nekoč imenovanem Caldera Systems.;Razmah na trgu se še naprej giblje v našo smer, je povedal o svojem podjetju, nekoč imenovanem Caldera Systems.;microsoft_msr
leksikalno_parafraziranje;zamenjava_sopomenk;Vse je bilo odločeno vnaprej, je dejan eden od moških, Thierry Falise, belgijski fotograf, ko je prispel v Bangkok.;Vse je bilo dorečeno predhodno, je rekel eden od moških, Thierry Falise, belgijski umetnik fotografije, ko je prišel v Bangkok.;microsoft_msr
leksikalno_parafraziranje;zamenjava_sopomenk;Dokument navaja: “To poročilo ne poizkuša obravnavati komepleksnosti tega vprašanja.”;Akt govori: “To poročilo se ne trudi obravnavati zapletenosti tega vprašanja.”;microsoft_msr
leksikalno_parafraziranje;zamenjava_sopomenk;Usmerjevalnik bo na voljo v prvem četrtletju leta 2004 in bo stal približno 200 dolarjev, je sporočilo podjetje.;Krmilnik bo na voljo v prvem trimesečju leta 2004 in bo stal okrog 200 dolarjev.;microsoft_msr
leksikalno_parafraziranje;zamenjava_sopomenk;Predlog Dewhursta predvideva nenaden konec spornega načrta “Robin Hood” za financiranje šol.;Predlog Dewhursta predvideva sunkovit konec problematičnega načrta “Robin Hood” za kritje stroškov šol.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Ali lahko Brahmini jedo jajca?;Zakaj Brahmini ne jedo nevegetarijanske hrane?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Ali podporniki Trumpa verjamejo njegovim trditvam o davčnih napovedih ali jih preprosto ne zanima?;Ali podporniki Donalda Trumpa dejansko ne skrbijo za njegove davčne napovedi ali jih preprosto tolerirajo in gledajo širšo sliko?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Ali obstaja kakšen dokaz za obstoj Boga?;Ali obstaja kakšen dokaz, da Boga ni?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Kaj bi se zgodilo, če John Lennon ne bi bil ustreljen?;Kaj, če bi bil John Lennon še vedno Živ?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Zakaj Indija dovoljujea uvoz kitajskih izdelkov v Indijo?;Zakaj Indija ne prepove uvoza kitajskih izdelkov kljub političnim razlogom?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Ali se lahko obstoj Boga dokaže z razumom?;Ali se obstoja Boga ne more izpodbiti z znanstveno metodo?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Katero pomembno resnico zavrača večina ljudi?;Katera pomembna resnica ni sprejeta s strani večine?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Kaj se zgodi, če gama žarek zadene naše sonce?;Kaj se zgodi, če gama žarek ne zgreši našega sonca?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Kako lahko obnovim prejšnjo sejo v Google Chrome, ko ponovno odprem brskalnik?;Kako lahko odprem Google Chrome, da ne izgubim prejšnje seje iskanja?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Kako postati bolj pozoren v vsakdanjem življenju?;Kako postati manj nepozoren v vsakdanjem življenju?;quora
leksikalno_parafraziranje;antonim_z_negacijo;Sirska vlada se je vzdržala komentarjev in izjav o dogodku.;Sirske oblasti niso podale uradne izjave o incidentu.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Nordstrom širi tudi svoje igralno območje v otroškem oddelku z oblačili, dodaja morske akvarije in dejavnosti.;Nordstrom ne zmanjšuje svojega igralnega prostora v otroškem oddelku, temveč ga širi z dodatki, kot so akvariji in druge dejavnosti.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Nato začasno umakne glavo za branje s trdega diska, dokler se sistem ponovno ne stabilizira.;Glava za branje s trdega diska ne ostane aktivna v nestabilnih pogojih, vse dokler sistem po stane stabilen.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Gospa Pike je tudi dejala, da ni nenavadno, da bolnišnice zapadejo v primankljaj, vendar bo vlada poskrbela, da bodo ostale stabilne.;Gospa Pike je poudarila, da ni običajno, da bolnišnice ne bi imele finančnih težav, a da vlada ne bo dovolila, da bi postale neučinkovite.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Delnice podjetja Nvidia so izgubile 3,46 odstotka in dosegle 16,20 USD na borzi Nasdaq.;Delnice podjetja Nvidia se niso zvišale, temveč so padle na 16,20 USD.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Govorec Jerry Cheske je dejal, da so cene morda vplivale na nekatere načrte, vendar so poceni hotelske ponudbe omilile učinek.;Čeprav cene niso ostale nizke, kar bi pustilo načrte nedotaknjene, so ugodne hotelske ponudbe ublažile vpliv.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Zelo sem ponosen na državljane te države, je dejal guverner John Baldacci.;Guverner John Baldacci je dejal, da nima nobenih razlogov za razočaranje nad državljani te države.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Potem ko so odvetniki Hewitta obvestili ATP, da je bilo ukrepanje predvideno, je izdal še eno izjavo aprila, ki jo je Hewitt dodal k svoji tožbi.;Po tem, ko so Hewittovi odvetniki ATP-ju pojasnili, da ne gre za nepričakovano dejanje, je Hewitt aprila dodal novo izjavo svoji tožbi.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Prijave so bile vložene dva dni po tem, ko je Ken Livingstone, župan Londona, trdil, da so policija in varnostne službe preprečile štiri teroristične napade na prestolnico.;"Ken Livingstone je izjavil, da štirje teroristični napadi niso bili izvedeni zahvaljujoč policiji in varnostnim službam; prijave so bile podane dva dni pozneje.";microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Columbia se je razpadla nad Teksasom ob ponovnem vstopu v atmosfero.;Ob vstopu v atmosfero se vesoljsko plovilo Columbia ni uspelo ohraniti v celoti in se je razdrobilo nad Teksasom.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Amrozi ni razkril in ni bil vprašan po identiteti svojega šefa.;Amrozi je podatke ohranil zase in bil prost identifikacije svojega šefa.;microsoft_msr
leksikalno_parafraziranje;antonim_z_negacijo;Upoštevaj, Chaka, čeprav sem zdravnik, nisem licenciran zdravnik.;Ampak ne pozabi, Cha-ko, da čeprav sem zdravnik, nisem licenciran zdravnik.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;Ni razumno, je Marsh glasno pritoževal policistom.;Neumnosti, je Marsh glasno pritoževal policistom.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;No, moji starši so izven mesta in v petek zvečer bom imel ljudi pri sebi.;Moji starši niso v mestu in v petek bom imel nekaj ljudi doma.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;Ko sem v taborišču rekel, da bi Daryl morda imel prav, in si me utišal, si me napačno razumel.;Ko sem bil v taborišču in sem rekel, da bi lahko Daryl imel prav, in si me utišal, se nismo prav razumeli.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;Tega ni treba govoriti, to niso javne stvari.;To ohrani zase, to so zasebne stvari.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;Kot sem rekel, ne bom te pustil tam.;Saj sem ti povedal, pridem te iskat.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;V tem prostoru ne skrivamo skrivnosti.;Tukaj smo transparentni in iskreni o vsem.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;Naslednji dan smo ugotovili, da so stvari precej preproste, čeprav so se zdele kompleksne.;Dan po tem smo ugotovili, da stvari niso tako težavne, kot so se zdele.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;To ni nič slabše, kot rezultat prejšnjega leta.;To je enako dobro, kot je bilo v prejšnjem letu.;paranmt_small
leksikalno_parafraziranje;antonim_z_negacijo;Odločil se je zapustiti primer Lorelei Martins.;Odločil se je, da ne bo nadaljeval s primerom Lorelei Martins.;paranmt_small
leksikalno_parafraziranje;hipernim_hiponim;Kako lahko objavim teze o zobozdravstvu v mednarodni knjižnici za teze?;Kako lahko objavim teze o izobraževanju v mednarodni knjižnici za teze?;quora
leksikalno_parafraziranje;hipernim_hiponim;Kako preprečim, da bi moj mešanec Yorkie/Corgi grizel moje čevlje?;Kako preprečim, da bi pes grizel stvari?;quora
leksikalno_parafraziranje;hipernim_hiponim;Kako lahko povečam promet na svoji spletni strani?;Kako lahko povečam promet na svojem blogu?;quora
leksikalno_parafraziranje;hipernim_hiponim;Kako menite, da se Federer, Nadal, Djoković, Murray, Wawrinka, Delpo in Cilic uvrščajo glede na potencial za največje mesto v tenisu?;Kako bi ocenili Federerja, Nadala, Djokovića, Murrayja, Wawrinko, Delpoja in Cilica glede na doseženo veličino in potencialno mesto v zgodovini športa?;quora
leksikalno_parafraziranje;hipernim_hiponim;Kako se učiti o borzi?;Kateri je najboljši način za učenje o investiranju v delnice?;quora
leksikalno_parafraziranje;hipernim_hiponim;Kateri pametni telefoni na trgu so najboljši?;Katere so najboljše razpoložljive tehnološke naprave?;quora
leksikalno_parafraziranje;hipernim_hiponim;Kdo so muslimani Rohingya?;Kdo so ljudje Rohingya?;quora
leksikalno_parafraziranje;hipernim_hiponim;Ali je pomembno, ali so ljudje sebični ali zlobni?;Ali je pomembno, ali je človeštvo zlobno ali ne?;quora
leksikalno_parafraziranje;hipernim_hiponim;Kakšni so nekateri nasveti za študij biologije?;Kakšni so nekateri nasveti za študij naravoslovnih ved?;quora
leksikalno_parafraziranje;hipernim_hiponim;Ali se živali dolgočasijo?;Ali se ptice kdaj dolgočasijo?;quora
leksikalno_parafraziranje;hipernim_hiponim;Ali lahko dodam slike k mojim vprašanjem na Quori?;Ali lahko dodam priponke k mojim vprašanjem na Quori?;quora
leksikalno_parafraziranje;hipernim_hiponim;Koliko bogov se trenutno časti na Zemlji?;Koliko božanstev se trenutno časti na Zemlji?;quora
leksikalno_parafraziranje;hipernim_hiponim;Ali obstajajo nedvoumni dokazi o obstoju tujega življenja v naši galaksiji?;Ali obstajajo jasni dokazi o obstoju inteligentnih nezemeljskih bitij na Rimski cesti?;quora
leksikalno_parafraziranje;hipernim_hiponim;Žrtev, ki ni bila identificirana, je bila odpeljana v bolnišnico Kings Country v kritičnem stanju.;Neznana oseba je bila prepeljana v Kings Country bolnišnico z hudo poškodbo vratu in glave.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;Ravni kortizola v slini so bile najvišje pri otrocih, ki jih je osebje v varstvu ocenilo kot najbolj sramežljive.;Pri otrocih, ki jih vzgojitelji ocenjujejo kot najbolj zadržane, so bile koncentracije kortizola v slini najvišje.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;Kakšni so varnostni ukrepi pri ravnanju s puškami, ki jih predlaga NRA po vsej ZDA, vključno s teritoriji in posestmi?;Kakšni so varnostni ukrepi pri ravnanju s puškami, ki jih predlaga NRA v Idahu?;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;Po 26 urah operacije in letu dni pričakovanj so bili fantje v nedeljo premeščeni na Otroški medicinski center v Dallas.;Po dolgotrajnem kirurškem postopku in dolgih pripravah so bili dečki v nedeljo premeščeni v bolnišnico za otroke v Dallasu.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;Nov predlog zakona bi pokril 95 odstotkov zdravil nad 5.100 dolarjev.;Novi zakon bi omogočil, da bi zdravstveno zavarovanje krilo skoraj vse izdatke za dražja zdravila.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;Virus Zahodnega Nila, ki se širi preko okuženih komarjev, je lahko smrten.;Bolezen Vzhodnega Nila, ki se širi preko okuženih živali, je lahko nevarna.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;V Bunii je razporejenih približno 700 vojakov MONUC, vendar sila nima mandata niti kadrov za ustavitev spopadov.;V Bunii je nameščenih približno 700 pripadnikov varnostnih sil ZN, vendar misija nima pooblastil niti osebja za zaustavitev nasilja.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;V prejšnjem letu je predvideval fospodarsko povečanje v višini 5,3% kar znaša približno 154 miljard ameriških dolarjev.;Decembra je pričakoval rast v višini 5,3 odstotka, kar je približno 154 miljard dolarjev.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;V izjavi pozneje je dejal, da se zdi, da je njegova stran morda malo zaostala.;Kasneje je komentiral, da je njegova skupina morda izgubila bitko.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;Vendar FBI ga ni nikol spremljal, kljub temu, da je prejel informacije o pravem dokumentu.;Vendar FBI ga ni nikoli nadzoroval, čeprav so obstajali podatki v razkritem poročilu.;microsoft_msr
leksikalno_parafraziranje;hipernim_hiponim;Galinoporni je južna vas na Cipru, na turško-ciprskem delu polotoka Karpas.;Galinoporni je turška ciprska vas na Cipru, ki se nahaja na južni strani polotoka Karpas.;paws
leksikalno_parafraziranje;hipernim_hiponim;Igral sem poker z dvema janki kapetanoma.;Igral sem poker z Jankiji.;paranmt_small
leksikalno_parafraziranje;hipernim_hiponim;Če bi prišli k tebi in izrazili svoj primer, bi se nam pridružila?;Če bi prišli k tebi in pojasnili svoje argumente za razrešitev, bi se nam pridružila?;paranmt_small
leksikalno_parafraziranje;hipernim_hiponim;Ali ti je malinin sladoled ljubši od limoninega?;Ali ti je ljubši sladoled iz jagodičevja ali iz citrusov?;paranmt_small
leksikalno_parafraziranje;hipernim_hiponim;In stekel je k svojemu sinu, ki je skočil na kup apna, da bi si obarval čevlje na belo.;In stekel je k svojemu otroku, ki je skočil na kup apna, da bi si obarval čevlje na belo.;paranmt_small
leksikalno_parafraziranje;hipernim_hiponim;Piše v zapisniku zračnega prometa nad Babilonom.;Piše v zapisniku letalskih poletov nad Babilonom.;paranmt_small
leksikalno_parafraziranje;hipernim_hiponim;Pomladi prejšnje leto je bilo manj sreče.;Aprila prejšnjega leta je bilo manj sreče.;paranmt_small
leksikalno_parafraziranje;hipernim_hiponim;Ženska je danes privesljala po reki navzgor.;Temnolaska je danes privesljala po reki navzgor.;paranmt_small
sintaktično_parafraziranje;sprememba_vrstnega_reda;Kako se pripravim na ICSE maturo 10. razreda?;Kako se pripravim na maturo razreda 10. ICSE?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Anglija proti Walesu - kdo bo zmagal?;Kdo bo zmagal na tekmi med Anglijo in Walesom?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Kateri DSLR fotoaparat je boljši Nikon D3300 ali Canon EOS 1300D?;Kateri DSLR je boljši, Nikon D5500 ali Canon EOS 60D?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Slab sem v angleški slovnici, kako naj izboljšam svojo slovnico?;Kaj lahko storim, da izboljšam svojo angleško slovnico?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Koliko mehanskih inženirjev diplomira v Indiji na leto?;Koliko mehanskih inženirjev diplomira na leto v Indiji?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Katera je najbolj smešna fotografija, ki je bila kdaj posneta?;Katera fotografija, ki je bila kdaj posneta, je najbolj smešna?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Katera je najboljša spletna stran za nadgradnjo znanja Pythona?;Katera spletna stran za nadgradnjo znanja Pythona je najboljša?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Kaj naj storim, če sem pozabil svoj iCloud e-poštni naslov in geslo?;Če sem pozabil svoj iCloud e-poštni naslov in geslo, naj storim kaj?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Katero programsko opremo za urejanje videoposnetkov uporabljajo YouTuberji?;Katero programsko opremo uporabljajo YouTuberji za urejanje videoposnetkov?;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;Moj prenosni računalnik prikazuje omejen dostop do interneta prek domače WiFi povezave.;Prek domače WiFi povezave, moj prenostni računalnik prikazuje omejen dostop do interneta.;quora
sintaktično_parafraziranje;sprememba_vrstnega_reda;"Billboard je o pesmi napisal: ""Poznaš ritem, zdaj ujemi groove."" ";"O pesmi je Billboard napisal: ""Poznaš ritem, zdaj ujemi groove.""";paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Kraljevi kolidž za glasbo je skupaj z Natalijo imenoval Petra Starka za profesorja dirigiranja.;Kraljevi kolidž za glasbo je imenoval Natalijo skupaj z Maestrom Petrom Starkom za profesorja dirigentov.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Izšel je kot digitalni prenos 6. aprila 2010 in je bil objavljen na radiu Modern Rock v Združenih državah 5. maja 2010.;6. aprila 2010 je izšel kot digitalni prenos, medtem ko je bil 5. maja 2010 predvajan na ameriškem radiu Modern Rock.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Mine Bengidzakiwe je tradicionalna pesem, ki se poje na domačih slovesnostih v Svazi, ki je postala lokalna uspešnica leta 2007.;Tradicionalna pesem Mine Bengidzakiwe, ki se poje na slovesnostih v Svazi, je leta 2007 postala lokalna uspešnica.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Leta 1941 se je Ruth Stuber poročila z Armandom L. Jeanne.;Ruth Stuber se je z Armandom L. Jeanne poročila leta 1941.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Privzeti največji hitrostni omejitve veljajo za vse ceste, kjer še ni v veljavi nobena posebna nižja numerična hitrostna omejitev.;Na vseh cestah, kjer ni določene nižje numerične omejitve, veljajo privzete največje hitrostne omejitve.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Leta 1985 je Mammootty prejel posebno omembo nagrade Kerala State Film Award in osvojil nagrado Filmfare za svojo vlogo kot Ravi Varma.;Mammootty je za vlogo Ravi Varme leta 1985 prejel posebno omembo pri nagradi Kerala State Film Award in osvojil Filmfare nagrado.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Leta 2010 je bila obnovljena z novimi avtobusi in nadgrajena v začetku leta 2011.;Obnova z novimi avtobusi se je začela leta 2010, nadgradnja pa je sledila v začetku leta 2011.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;"Sabate je prevedel v angleščino tudi biografijo Francisca Sabate Lloparta, ""Christie: Izjemna gverilka"", avtorja Antonia Télleza Solá. ";"Biografijo Francisca Sabate Lloparta z naslovom ""Christie: Izjemna gverilka"", ki jo je napisal Antonio Téllez Solá, je Sabate prav tako prevedel v angleščino.";paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Avgusta 2012 je par dobil prvega otroka, Shalka mlajšega, leta 2014 pa se je rodil njun drugi sin Nicol.;Prvega sina, Shalka mlajšega, je par dobil avgusta 2012, medtem ko se je njun drugi otrok Nicol rodil leta 2014.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Ernakulam je sedež dodatnega okrožnega sodišča North Paravur.;Sedež dodatnega okrožnega sodišča North Paravur se nahaja v Ernakulamu.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Perot se je rodil in odraščal v Dallasu, sin Margot (roj. Birmingham) in Rossa Perota.;Rodil se je in odraščal v Dallasu, sin Rossa Perota in Margot (roj. Birmingham).;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Elati je vas v regijski enoti Kozani v Grčiji.;Elati je vas v regijski enoti Grčije, Kozani.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;Leta 2004 je Bessonova osvojila srebrno medaljo v vseh disciplinah na evropskem prvenstvu leta 2004.;Bessonova je leta 2004 osvojila srebrno medaljo na evropskem prvenstvu.;paws
sintaktično_parafraziranje;sprememba_vrstnega_reda;"Z vrha nasipa je Moriarty pomislil: ""Čez nekaj minut bo odnesen ali pa bo umrl zaradi mraza.""";Čez nekaj minut bo odnesen ali pa bo umrl zaradi mraza, je pomislil Moriarty z vrha nasipa.;microsoft_msr
sintaktično_parafraziranje;sprememba_vrstnega_reda;Glede na interpretacijo referenčne stopnje v f510a, morda ni obvezno.;Morda ni obvezno, glede na interpretacijo referenčne stopnje v f510a.;paranmt_small
sintaktično_parafraziranje;sprememba_vrstnega_reda;Dva konja in osel so bili zavezani ob ograji, glave so bile sklonjene in sežigali so suho travo.;Sežigali so suho travo in glave so bile sklonjene, dva konja in osel so bili zavezani ob ograji.;paranmt_small
sintaktično_parafraziranje;sprememba_vrstnega_reda;Ali bi to storil, če bi bila situacija obrnjena?;Če bi bila situacija obrnjena, ali bi to storil?;paranmt_small
sintaktično_parafraziranje;sprememba_vrstnega_reda;Načrtovali smo, da bomo na njegov rojstni dan vozili njegovo kolo.;Na njegov rojstni dan smo načrtovali, da bomo vozili njegovo kolo.;paranmt_small
sintaktično_parafraziranje;sprememba_vrstnega_reda;Napisal bom pismo preden se stemni.;Preden se stemni bom napisal pismo.;paranmt_small
sintaktično_parafraziranje;sprememba_vrstnega_reda;Če ne bi bilo zanj, nikoli ne bi šel v posel s Santyjem.;Nikol ne bi šel v posel s Santyem, če ne bi bilo zanj.;paranmt_small
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Kako se naučiti japonsko v 2 mesecih?;Kako si se naučil/a japonsko?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Kako se spopasti s prekinitvijo?;Kako naj se spopadem s svojo prvo prekinitvijo?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;V dveh dneh, kako naj se pripravim na Mu Sigma?;Kateri je najboljši način priprave na Mu Sigma?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Kako blizu smo tretji svetovni vojni in kako huda bi bila?;Kako blizu je tretja svetovna vojna?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Kaj so nekatera najbolj tehnična vprašanja, postavljena na razgovoru?;Kaj so vprašanja, ki jih postavi intervjuer na tehničnem razgovoru?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Kako se izogniti bruhanju med potovanjem po hribovitih območjih?;Zakaj ljudje bruhanje med potovanjem v avtobusih?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Kako se lahko naučim programskega jezika Java?;Kaj je programiranje v Javi? Kako se naučiti programskega jezika Java?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Kako ugotovim, ali je nekdo inteligenten?;Ali je mogoče majhno pogovarjanje uporabiti za preizkus inteligence nekoga?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Katera je najboljša aplikacija za javni prevoz v Berlinu?;Katere so najboljše aplikacije za javni prevoz, ki mi pomagajo v Berlinu?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Kako ste naučili svojega otroka, da ne laže?;Kakšni so dobri načini za učenje otrok, da ne lažejo?;quora
sintaktično_parafraziranje;aktivno_pasivna_sprememba;Ali je mogoče izumiti časovni stroj?;Lahko ustvarimo časovni stroj?;quora
